epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,957.922,0.60234,0.29367,0.95536,0.70206,0.37216,0.42549,0.18551,0.56165,0.26235,0.96711,0.00914058,0.00914058,0.00914058
62,978.329,0.59514,0.28866,0.95429,0.67762,0.36895,0.41192,0.17432,0.57653,0.27844,0.96891,0.00911268,0.00911268,0.00911268
63,999.165,0.60026,0.28696,0.95737,0.66078,0.3688,0.41587,0.17471,0.58717,0.27586,0.97578,0.00908438,0.00908438,0.00908438
64,1013.91,0.59934,0.28941,0.95531,0.66604,0.37111,0.43244,0.1902,0.57289,0.26525,0.97221,0.0090557,0.0090557,0.0090557
65,1026.33,0.59122,0.28649,0.95604,0.71372,0.37338,0.43041,0.18823,0.55846,0.26082,0.96543,0.00902662,0.00902662,0.00902662
66,1038.44,0.5987,0.2853,0.95058,0.68816,0.37445,0.42685,0.18192,0.5869,0.27512,0.97379,0.00899716,0.00899716,0.00899716
67,1050.76,0.60295,0.28752,0.94927,0.70084,0.37811,0.4283,0.18807,0.55886,0.26404,0.96238,0.00896731,0.00896731,0.00896731
68,1062.93,0.59128,0.28161,0.95733,0.68256,0.37521,0.42986,0.19118,0.55835,0.26344,0.96463,0.00893708,0.00893708,0.00893708
69,1075.14,0.58637,0.28288,0.954,0.67956,0.38071,0.44169,0.19667,0.55324,0.26536,0.96233,0.00890648,0.00890648,0.00890648
70,1087.24,0.58769,0.2777,0.95317,0.68186,0.37552,0.43216,0.19355,0.5607,0.26778,0.96271,0.0088755,0.0088755,0.0088755
71,1099.43,0.58736,0.27509,0.95511,0.69783,0.37368,0.44207,0.20241,0.5498,0.26653,0.96106,0.00884415,0.00884415,0.00884415
72,1111.61,0.58419,0.28055,0.9529,0.72539,0.37536,0.4311,0.19084,0.54839,0.26312,0.96102,0.00881244,0.00881244,0.00881244
73,1123.9,0.58815,0.27891,0.95162,0.68695,0.37704,0.43451,0.18925,0.56738,0.26476,0.96676,0.00878036,0.00878036,0.00878036
74,1136.16,0.58577,0.27734,0.95567,0.70469,0.38925,0.45209,0.20287,0.55036,0.25303,0.96143,0.00874792,0.00874792,0.00874792
75,1148.71,0.58432,0.28014,0.94872,0.7052,0.37887,0.44778,0.20078,0.54682,0.25861,0.96035,0.00871513,0.00871513,0.00871513
76,1161.11,0.57681,0.27685,0.95224,0.67218,0.37536,0.42826,0.1845,0.5806,0.27098,0.97153,0.00868198,0.00868198,0.00868198
77,1173.42,0.58718,0.28046,0.94871,0.69678,0.3746,0.42916,0.19221,0.55288,0.26201,0.96174,0.00864849,0.00864849,0.00864849
78,1185.43,0.58481,0.27911,0.94623,0.67777,0.37399,0.4368,0.19614,0.56525,0.26851,0.96641,0.00861464,0.00861464,0.00861464
79,1197.96,0.57803,0.27196,0.94911,0.71062,0.38544,0.44539,0.20062,0.55078,0.25553,0.96164,0.00858046,0.00858046,0.00858046
